label,id,rodada
PALxINT-1-turno-2022,On5dlkoCPh4,19
PALxFLU-1-turno-2022,6jrMq45C7Sc,5
PALxCOR-1-turno-2022,Gaz1OWvhH9o,3
PALxFLA-1-turno-2022,1eku81aT7AI,4
PALxCAP-1-turno-2022,a7fHplGIays,15
PALxCAM-1-turno-2022,Jc3tFtsvRd4,9
PALxFOR-1-turno-2022,TXyQ9L-TNhc,16
PALxSAO-1-turno-2022,HBKQVQ62cVs,13
PALxAMG-1-turno-2022,RVHCE_m94hs,18
PALxBOT-1-turno-2022,n2Ri-MFc2m4,10
PALxSAN-1-turno-2022,9hEMjrlKnAo,8
PALxGOI-1-turno-2022,ELAik1Oal7Q,2
PALxRBB-1-turno-2022,VDohqzlnoWg,6
PALxCFC-1-turno-2022,9Kejp2rGYMk,11
PALxCUI-1-turno-2022,jE9e4drVOQc,17
PALxCEA-1-turno-2022,Rq_7ingfdHU,1
PALxACG-1-turno-2022,6ZsJL1YaC1g,12
PALxAVA-1-turno-2022,ufI9VRqj_is,14
PALxJUV-1-turno-2022,HDP3XYlv404,7
INTxFLU-1-turno-2022,cS9WOrq5h_U,3
INTxCOR-1-turno-2022,BY9eq0VKxuY,6
INTxFLA-1-turno-2022,46KgIFv-9XU,11
INTxCAP-1-turno-2022,PXq7oaJaRTo,17
INTxCAM-1-turno-2022,KahxDM-xZEg,1
INTxFOR-1-turno-2022,f5hpBOGpjLg,2
INTxSAO-1-turno-2022,0Gni5n81BvY,18
INTxAMG-1-turno-2022,EwUy947ppOA,16
INTxBOT-1-turno-2022,MkyQ8vsa0m0,13
INTxSAN-1-turno-2022,Ax_3hNm57cw,10
INTxGOI-1-turno-2022,mwORdXvh6VM,12
INTxRBB-1-turno-2022,OCepn1Fw7Bg,9
INTxCFC-1-turno-2022,Dyf_xBIIDe4,14
INTxCUI-1-turno-2022,bVSVbS9VS70,7
INTxCEA-1-turno-2022,-6fZDwzI0j8,15
INTxACG-1-turno-2022,oeu-7ELalkI,8
INTxAVA-1-turno-2022,L64DUTKhF9Q,4
INTxJUV-1-turno-2022,vWpKqpHGDrs,5
FLUxCOR-1-turno-2022,zdVquusVIcI,15
FLUxFLA-1-turno-2022,QoOA3XA6DVI,8
FLUxCAP-1-turno-2022,Hig-GKAtqkc,6
FLUxCAM-1-turno-2022,lTrIDZmzUJE,10
FLUxFOR-1-turno-2022,yQ4hJSGHL-0,7
FLUxSAO-1-turno-2022,M4DZWWTA634,17
FLUxAMG-1-turno-2022,G-DjyLlTa0A,12
FLUxBOT-1-turno-2022,wc4GFWGA6Kc,14
FLUxSAN-1-turno-2022,Sg-kCX6dSoE,1
FLUxGOI-1-turno-2022,jg9i17oJ_zU,18
FLUxRBB-1-turno-2022,hvStNgkJXiA,19
FLUxCFC-1-turno-2022,l3Gxo5yQIo0,4
FLUxCUI-1-turno-2022,Uh_Y-Kkl8Ko,2
FLUxCEA-1-turno-2022,GlN3b2aRWdM,16
FLUxACG-1-turno-2022,0aD33hsgRHE,11
FLUxAVA-1-turno-2022,iUYP8sFzOmU,13
FLUxJUV-1-turno-2022,n6ipZwDuEnA,9
CORxFLA-1-turno-2022,VvP9kek2dzI,16
CORxCAP-1-turno-2022,i41Eb9RB2vc,12
CORxCAM-1-turno-2022,pK-3GV1xjdM,19
CORxFOR-1-turno-2022,b3HH9GN3NTQ,4
CORxSAO-1-turno-2022,CPxVlb84q-s,7
CORxAMG-1-turno-2022,YSMuW-Gp38M,8
CORxBOT-1-turno-2022,lyJuxevpgDM,1
CORxSAN-1-turno-2022,SK8jlPlDrgc,14
CORxGOI-1-turno-2022,HN7Hs_tzjG4,13
CORxRBB-1-turno-2022,no6g6CJZIkE,5
CORxCFC-1-turno-2022,OvKsZ8AvX10,18
CORxCUI-1-turno-2022,JxwzXRnd-Cw,10
CORxCEA-1-turno-2022,4JPn1uH1ycQ,17
CORxACG-1-turno-2022,7IA2p4hf0ms,9
CORxAVA-1-turno-2022,lIsRCKF8mgY,2
CORxJUV-1-turno-2022,6ed-d5NU3k4,11
FLAxCAP-1-turno-2022,J2-QI3KYkB0,3
FLAxCAM-1-turno-2022,ZacUqNnEhms,13
FLAxFOR-1-turno-2022,KhfE5V_5WpE,9
FLAxSAO-1-turno-2022,0lrQvmXGTHo,2
FLAxAMG-1-turno-2022,2Ctj80iW7d0,14
FLAxBOT-1-turno-2022,3O0jB5MVa0M,5
FLAxSAN-1-turno-2022,Llbsq5Faz9M,15
FLAxGOI-1-turno-2022,6PMiloC0a4o,7
FLAxRBB-1-turno-2022,AXeXAeB48Iw,10
FLAxCFC-1-turno-2022,nR8mZB06OVE,17
FLAxCUI-1-turno-2022,ghmtY8oK4s0,12
FLAxCEA-1-turno-2022,wAnbevVroSo,6
FLAxACG-1-turno-2022,W8cPaxsKXVM,1
FLAxAVA-1-turno-2022,3Ut8V0Ho2CM,19
FLAxJUV-1-turno-2022,5O76QQuCDRc,18
CAPxCAM-1-turno-2022,dgj8g8ACGJY,2
CAPxFOR-1-turno-2022,WfABBMpraY4,11
CAPxSAO-1-turno-2022,d4wJKwL46Cw,1
CAPxAMG-1-turno-2022,V1-1BaH2znE,4
CAPxBOT-1-turno-2022,mLWuKWmT30A,19
CAPxSAN-1-turno-2022,B1R6pS6kJtE,9
CAPxGOI-1-turno-2022,JPJ_-Q9-8o4,16
CAPxRBB-1-turno-2022,JSWHDk1cN04,14
CAPxCFC-1-turno-2022,w9yfVfibbG8,13
CAPxCUI-1-turno-2022,6BBYXBbx3Jc,8
CAPxCEA-1-turno-2022,6pqVuLqwCz0,5
CAPxACG-1-turno-2022,tQpREWnEcEY,18
CAPxAVA-1-turno-2022,cBmQ2ScBJxU,7
CAPxJUV-1-turno-2022,_IfQWOf1ryU,10
CAMxFOR-1-turno-2022,164qnLceCYA,14
CAMxSAO-1-turno-2022,F-0ZsXeiE7A,16
CAMxAMG-1-turno-2022,-1rPa44y2mU,5
CAMxBOT-1-turno-2022,ve77kdlbdL8,17
CAMxSAN-1-turno-2022,n13dMNkFOR0,11
CAMxGOI-1-turno-2022,vHPQYmFhVOc,4
CAMxRBB-1-turno-2022,cy0bUGamLBI,7
CAMxCFC-1-turno-2022,PTAa-CsjXqw,3
CAMxCUI-1-turno-2022,ufCNy6fQZ08,18
CAMxCEA-1-turno-2022,GMS9Om8OUlU,12
CAMxACG-1-turno-2022,-ns_w-YhHW8,6
CAMxAVA-1-turno-2022,Q3qDar3fqu8,8
CAMxJUV-1-turno-2022,y8K5uint7lg,15
FORxSAO-1-turno-2022,QltI532Ee14,5
FORxAMG-1-turno-2022,wr8utw405_E,13
FORxBOT-1-turno-2022,QmXYDDtgauA,6
FORxSAN-1-turno-2022,7NmIqmWcBF4,19
FORxGOI-1-turno-2022,MGBAUd2Cwqc,10
FORxRBB-1-turno-2022,lgjpZmYY9M8,18
FORxCFC-1-turno-2022,u9aXoAkob1A,15
FORxCUI-1-turno-2022,aOl0wHa44vA,1
FORxCEA-1-turno-2022,LTjrKYJOf3I,3
FORxACG-1-turno-2022,sR0fmD6MaHs,17
FORxAVA-1-turno-2022,sVh3XjlHzwY,12
FORxJUV-1-turno-2022,IUl55RB64t4,8
SAOxAMG-1-turno-2022,8W0WcYjLr7I,11
SAOxBOT-1-turno-2022,qn9h91rXPpg,12
SAOxSAN-1-turno-2022,FGvK8uCgbZQ,4
SAOxGOI-1-turno-2022,0AX5pUL1GUY,19
SAOxRBB-1-turno-2022,3Zyj6Bz-e-k,3
SAOxCFC-1-turno-2022,vU4YyjcGFlE,10
SAOxCUI-1-turno-2022,vWGW88HVpQU,6
SAOxCEA-1-turno-2022,KNYw-UY0qBs,8
SAOxACG-1-turno-2022,LVAN94LmOzw,15
SAOxAVA-1-turno-2022,_vyENYHyF5E,9
SAOxJUV-1-turno-2022,RZNK0spvW7Q,14
AMGxBOT-1-turno-2022,q__ns-A2NoE,7
AMGxSAN-1-turno-2022,nTGEwJk_6Fo,3
AMGxGOI-1-turno-2022,pVi0yxma3-c,15
AMGxRBB-1-turno-2022,EblbsGUHJY4,17
AMGxCFC-1-turno-2022,M3fZ9FHFq4Y,6
AMGxCUI-1-turno-2022,RNDmYO3Zgd8,9
AMGxCEA-1-turno-2022,HGcgwB7P280,10
AMGxACG-1-turno-2022,0nTQnkBc_Fk,19
AMGxAVA-1-turno-2022,wxI_K26q_Po,1
AMGxJUV-1-turno-2022,uSJMlX6pWV8,2
BOTxSAN-1-turno-2022,pf5zKu0patI,18
BOTxGOI-1-turno-2022,buqAsax5ipg,9
BOTxRBB-1-turno-2022,fd11O8CM3ZM,15
BOTxCFC-1-turno-2022,JLarfjEtV9o,8
BOTxCUI-1-turno-2022,Hk7_uMZH3ps,16
BOTxCEA-1-turno-2022,nH9JET4QhDU,2
BOTxACG-1-turno-2022,cRbj-tJSr88,3
BOTxAVA-1-turno-2022,5z0jj1XL3B0,11
BOTxJUV-1-turno-2022,7rauK6d82gU,4
SANxGOI-1-turno-2022,6S6X2up8p_g,6
SANxRBB-1-turno-2022,itrw7HgLE_w,13
SANxCFC-1-turno-2022,t8pOhl-syQg,2
SANxCUI-1-turno-2022,8fUKwN-h7Ag,5
SANxCEA-1-turno-2022,m3uFohhtyRw,7
SANxACG-1-turno-2022,zAAtCkROT4g,16
SANxAVA-1-turno-2022,xdLOj2YK0cA,17
SANxJUV-1-turno-2022,4vrQarQDTec,12
GOIxRBB-1-turno-2022,cES7PP84aQU,8
GOIxCFC-1-turno-2022,tJvCfCaCuOI,1
GOIxCUI-1-turno-2022,8-uQru6Jk6E,14
GOIxCEA-1-turno-2022,ux1fx_xP2uk,11
GOIxACG-1-turno-2022,Q2Y06OQZZjk,5
GOIxAVA-1-turno-2022,YJzVMLMyijQ,3
GOIxJUV-1-turno-2022,bNX4HvOQyK8,17
RBBxCFC-1-turno-2022,tK-OD4ieoAE,12
RBBxCUI-1-turno-2022,iBOhm0MCinQ,11
RBBxCEA-1-turno-2022,wYtjS5gcUA0,4
RBBxACG-1-turno-2022,Pctl8-S1daU,2
RBBxAVA-1-turno-2022,m_smzJFxiIE,16
RBBxJUV-1-turno-2022,El2yeAtsD5U,1
CFCxCUI-1-turno-2022,WMhFjxplPrs,19
CFCxCEA-1-turno-2022,---6M5M6bZQ,9
CFCxACG-1-turno-2022,0uULKdMX9fc,7
CFCxAVA-1-turno-2022,5Virp_DeiJ0,5
CFCxJUV-1-turno-2022,k08hRDywdNs,16
CUIxCEA-1-turno-2022,MrM8YTptbpA,13
CUIxACG-1-turno-2022,kusHbdDHzyM,4
CUIxAVA-1-turno-2022,J5gFh7Y4UJ0,15
CUIxJUV-1-turno-2022,pfGvOIUTdpo,3
CEAxACG-1-turno-2022,rS2EKCJxdCw,14
CEAxAVA-1-turno-2022,r6ikAWXNAAg,18
CEAxJUV-1-turno-2022,YnDm8-T-EKg,19
ACGxAVA-1-turno-2022,Z4ZoLty1LK4,10
ACGxJUV-1-turno-2022,BPe-M2A0sY0,13
AVAxJUV-1-turno-2022,qFVikWyYcSg,6